H2O	O
alpha-D-Ribose 1-phosphate	C(C1C(C(C(O1)OP(=O)(O)O)O)O)O
sn-Glycerol 1-phosphate	C(C(COP(=O)(O)O)O)O
N-Acetyl-L-glutamate	CC(=O)NC(CCC(=O)O)C(=O)O
2-Phospho-D-glycerate	C(C(C(=O)O)OP(=O)(O)O)O
4-Hydroxybenzaldehyde	C1=CC(=CC=C1C=O)O
D-Mannose 1-phosphate	C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O
Indole-3-acetaldehyde	C1=CC=C2C(=C1)C(=CN2)CC=O
4-Hydroxyphenylacetate	C1=CC(=CC=C1CC(=O)O)O
N-Acetyl-D-mannosamine	CC(=O)NC1C(C(C(OC1O)CO)O)O
Xanthosine 5'-phosphate	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)NC(=O)NC2=O
LL-2,6-Diaminoheptanedioate	C(CC(C(=O)O)N)CC(C(=O)O)N
sn-Glycero-3-phosphocholine	C[N+](C)(C)CCOP(=O)([O-])OCC(CO)O
(S)-3-Methyl-2-oxopentanoic acid	CCC(C)C(=O)C(=O)[O-]
2-Deoxy-D-ribose 1-phosphate	C1C(C(OC1OP(=O)(O)O)CO)O
2-Deoxy-D-ribose 5-phosphate	
5alpha-Androstane-3,17-dione	CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4=O)C
5-Dehydro-4-deoxy-D-glucarate	C(C(C(C(=O)[O-])O)O)C(=O)C(=O)[O-]
meso-2,6-Diaminoheptanedioate	C(CC(C(=O)O)N)CC(C(=O)O)N
2-Hydroxymuconate semialdehyde	C(=CC(=O)C(=O)O)C=CO
(S)-Methylmalonyl-CoA	CC(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
dTDP-4-dehydro-beta-L-rhamnose	CC1C(=O)C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O)O
alpha,alpha'-Trehalose 6-phosphate	C(C1C(C(C(C(O1)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O)O)O)O)O
2,4,6/3,5-Pentahydroxycyclohexanone	C1(C(C(C(=O)C(C1O)O)O)O)O
UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	CC(C(=O)NC(CCC(=O)[O-])C(=O)[O-])NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)([O-])OP(=O)([O-])OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C
XTP	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)NC(=O)NC2=O
dCDP	C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)O)O
Betaine	C[N+](C)(C)CC(=O)[O-]
Tropine	CN1C2CCC1CC(C2)O
D-Serine	C(C(C(=O)O)N)O
Diacetyl	CC(=O)C(=O)C
Siroheme	CC1(C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(C(C(=N5)C=C1[N-]2)CCC(=O)O)(C)CC(=O)O)CC(=O)O)CCC(=O)O)C(=C3CC(=O)O)CCC(=O)O)CCC(=O)O)CC(=O)O.[Fe+2]
Spermine	C(CCNCCCN)CNCCCN
4-Hydroxy-3-methoxy-benzaldehyde	COC1=C(C=CC(=C1)C=O)O
Tropinone	CN1C2CCC1CC(=O)C2
Urocanate	C1=C(NC=N1)C=CC(=O)O
CDP-ribitol	C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC(C(C(CO)O)O)O)O)O
D-Tagatose	C1C(C(C(C(O1)(CO)O)O)O)O
L-Gulonate	C(C(C(C(C(C(=O)O)O)O)O)O)O
Oxalureate	C(=O)(C(=O)[O-])NC(=O)N
Propynoate	C#CC(=O)O
(R)-Acetoin	CC(C(=O)C)O
4-Coumarate	C1=CC(=CC=C1C=CC(=O)O)O
D-Glucarate	C(C(C(C(=O)[O-])O)O)(C(C(=O)[O-])O)O
D-Glutamine	C(CC(=O)N)C(C(=O)O)N
L-Arogenate	C1=CC(C=CC1O)(CC(C(=O)O)N)C(=O)O
Menaquinone	CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
Pantetheine	CC(C)(CO)C(C(=O)NCCC(=O)NCCS)O
dTDP-glucose	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O
Prunasin	C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)CO)O)O)O
2-Furoyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C4=CC=CO4)O
3-Oxoadipate	C(CC(=O)O)C(=O)CC(=O)O
Cob(I)alamin	CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)(O)OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[Co]
Cyclohexanol	C1CCC(CC1)O
Deamino-NAD+	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)O
L-Histidinol	C1=C(NC=N1)CC(CO)N
Pantothenate	CC(C)(CO)C(C(=O)NCCC(=O)O)O
4-Nitrophenol	C1=CC(=CC=C1[N+](=O)[O-])O
Coenzyme F420	CC(C(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)OP(=O)(O)OCC(C(C(CN1C2=CC(=O)C=CC2=CC3=C1NC(=O)NC3=O)O)O)O
Crotonoyl-CoA	CC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
Deoxycytidine	C1C(C(OC1N2C=CC(=NC2=O)N)CO)O
Dephospho-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O)C(C(=O)NCCC(=O)NCCS)O
Isochorismate	C=C(C(=O)O)OC1C=CC=C(C1O)C(=O)O
Propenoyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=C)O
(R,R)-Tartaric acid	C(C(C(=O)O)O)(C(=O)O)O
2-Acetolactate	CC(=O)C(C)(C(=O)O)O
Dihydropteroate	C1C(=NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)O
Porphobilinogen	C1=C(C(=C(N1)CN)CC(=O)O)CCC(=O)O
UDP-L-arabinose	C1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)O)O)O
(R)-Lactaldehyde	CC(C=O)O
2-Oxoglutaramate	C(CC(=O)N)C(=O)C(=O)O
3-Dehydroquinate	C1C(C(C(=O)CC1(C(=O)O)O)O)O
Estradiol-17beta	CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
Indole-3-acetate	C1=CC=C2C(=C1)C(=CN2)CC(=O)O
L-2-Aminoadipate	C(CC(C(=O)O)N)CC(=O)O
Mercaptopyruvate	C(C(=O)C(=O)O)S
2-Dehydropantoate	CC(C)(CO)C(=O)C(=O)O
3-Hydroxypropanal	C(CO)C=O
Cyclomaltodextrin	C(C1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(O2)C(C7O)O)CO)CO)CO)CO)CO)O)O)O
GDP-D-mannuronate	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O)N=C(NC2=O)N
O-Acetyl-L-serine	CC(=O)OCC(C(=O)O)N
alpha-D-Galactose	C(C1C(C(C(C(O1)O)O)O)O)O
4-Hydroxybutanoic acid	C(CC(=O)O)CO
5-Aminopentanamide	C(CCN)CC(=O)N
D-Alanyl-D-alanine	CC(C(=O)NC(C)C(=O)O)N
O-Phospho-L-serine	C(C(C(=O)[O-])[NH3+])OP(=O)([O-])[O-]
Reduced riboflavin	CC1=CC2=C(C=C1C)N(C3=C(N2)C(=O)NC(=O)N3)CC(C(C(CO)O)O)O
Urea-1-carboxylate	C(=O)(N)NC(=O)O
6-Hydroxynicotinate	C1=CC(=O)NC=C1C(=O)O
Hydroxymethylbilane	C1=C(C(=C(N1)CC2=C(C(=C(N2)CC3=C(C(=C(N3)CC4=C(C(=C(N4)CO)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O
4-Guanidinobutanoate	C(CC(=O)O)CN=C(N)N
7,8-Diaminononanoate	CC(C(CCCCCC(=O)O)N)N
UDP-N-acetylmuramate	CC(C(=O)O)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C
Uroporphyrinogen III	C1C2=C(C(=C(N2)CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C1N5)CCC(=O)O)CC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O
Pimeloyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCCCCC(=O)O)O
D-Ribitol 5-phosphate	C(C(C(C(COP(=O)(O)O)O)O)O)O
O-Acetyl-L-homoserine	CC(=O)OCCC(C(=O)O)N
Protoporphyrinogen IX	CC1=C2CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C(N5)CC(=C1CCC(=O)O)N2)CCC(=O)O)C)C=C)C)C=C)C
Reduced coenzyme F420	CC(C(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)OP(=O)(O)OCC(C(C(CN1C2=C(CC3=C1NC(=O)NC3=O)C=CC(=C2)O)O)O)O
Thiamin monophosphate	
alpha,alpha-Trehalose	C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O
8-Amino-7-oxononanoate	CC(C(=O)CCCCCC(=O)O)N
D-Fructose 1-phosphate	C(C(C(C(C(=O)COP(=O)(O)O)O)O)O)O
D-Tagatose 6-phosphate	C(C1C(C(C(O1)(CO)O)O)O)OP(=O)(O)O
L-Histidinol phosphate	C1=C(NC=N1)CC(COP(=O)(O)O)N
O-Phospho-L-homoserine	C(COP(=O)(O)O)C(C(=O)O)N
Orotidine 5'-phosphate	C1=C(N(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O)C(=O)O
D-Galactose 6-phosphate	C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O
O-Succinyl-L-homoserine	C(COC(=O)CCC(=O)O)C(C(=O)O)N
4-Hydroxy-2-oxoglutarate	C(C(C(=O)O)O)C(=O)C(=O)O
Pantetheine 4'-phosphate	CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O
S-Adenosylmethioninamine	C[S+](CCCN)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
(S)-3-Hydroxybutanoyl-CoA	CC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
2-Hydroxy-3-oxopropanoate	C(=O)C(C(=O)O)O
4-Trimethylammoniobutanal	C[N+](C)(C)CCCC=O
Hydroxyproline	C1C(CNC1C(=O)O)O
3,4-Dihydroxyphenylacetate	C1=CC(=C(C=C1CC(=O)O)O)O
3-Carboxy-cis,cis-muconate	C(=CC(=O)O)C(=CC(=O)O)C(=O)O
L-Glutamate 5-semialdehyde	C(CC(C(=O)O)N)C=O
Pseudouridine 5'-phosphate	C1=C(C(=O)NC(=O)N1)C2C(C(C(O2)COP(=O)(O)O)O)O
UDP-N-acetyl-D-mannosamine	CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O
Inositol 1-phosphate	C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O
3-(4-Hydroxyphenyl)pyruvate	C1=CC(=CC=C1CC(=O)C(=O)O)O
4-Methylthio-2-oxobutanoic acid	CSCCC(=O)C(=O)O
4-Trimethylammoniobutanoate	C[N+](C)(C)CCCC(=O)[O-]
Nicotinate D-ribonucleotide	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)O)O)O)C(=O)O
Caffeate	C1=CC(=C(C=C1C=CC(=O)O)O)[O-]
(R)-3-Amino-2-methylpropanoate	CC(CN)C(=O)O
Malonyl-[acyl-carrier protein]	
UDP-N-acetylmuramoyl-L-alanine	CC(C(=O)O)NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C
(R)-Methylmalonyl-CoA	CC(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
2-Dehydro-3-deoxy-D-galactonate	C(C(C(CO)O)O)C(=O)C(=O)O
5,6,7,8-Tetrahydromethanopterin	CC1C(NC2=C(N1)N=C(NC2=O)N)C(C)NC3=CC=C(C=C3)CC(C(C(COC4C(C(C(O4)COP(=O)(O)OC(CCC(=O)O)C(=O)O)O)O)O)O)O
6-Phospho-2-dehydro-D-gluconate	C(C(C(C(C(=O)C(=O)O)O)O)O)OP(=O)(O)O
GDP-4-dehydro-6-deoxy-D-mannose	CC1C(=O)C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O
Dehydroepiandrosterone	CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C
Guanosine 3',5'-bis(diphosphate)	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)OP(=O)(O)OP(=O)(O)O)O)N=C(NC2=O)N
all-trans-Hexaprenyl diphosphate	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C)C)C)C)C
sn-Glycero-3-phosphoethanolamine	C(COP(=O)(O)OCC(CO)O)N
D-Glucono-1,5-lactone 6-phosphate	C(C1C(C(C(C(=O)O1)O)O)O)OP(=O)(O)O
N-Acetyl-L-glutamate 5-semialdehyde	CC(=O)NC(CCC=O)C(=O)O
(R)-2-Hydroxybutane-1,2,4-tricarboxylate	C(CC(CC(=O)O)(C(=O)O)O)C(=O)O
3-(Imidazol-4-yl)-2-oxopropyl phosphate	C1=C(NC=N1)CC(=O)COP(=O)(O)O
5-Amino-6-(5'-phosphoribosylamino)uracil	C(C1C(C(C(O1)NC2=C(C(=O)NC(=O)N2)N)O)O)OP(=O)(O)O
5-O-(1-Carboxyvinyl)-3-phosphoshikimate	C=C(C(=O)O)OC1CC(=CC(C1O)OP(=O)(O)O)C(=O)O
2-Carboxy-2,5-dihydro-5-oxofuran-2-acetate	
4-Amino-5-hydroxymethyl-2-methylpyrimidine	CC1=NC=C(C(=N1)N)CO
2-Dehydro-3-deoxy-6-phospho-D-galactonate	C(C(C(COP(=O)(O)O)O)O)C(=O)C(=O)O
N-Acetyl-D-glucosaminyldiphosphoundecaprenol	
3-(4-Methylpent-3-en-1-yl)pent-2-enedioyl-CoA	CC(=CCCC(=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)CC(=O)O)C
6-(Hydroxymethyl)-7,8-dihydropterin	C1C(=NC2=C(N1)N=C(NC2=O)N)CO
1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate	C1=CC=C(C(=C1)C(=O)O)NCC(=O)C(C(COP(=O)(O)O)O)O
2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	C(C1C(C(C(O1)NC2=C(C(=O)NC(=N2)N)N)O)O)OP(=O)([O-])[O-]
Hydrochloric acid	
dIDP	C1C(C(OC1N2C=NC3=C2N=CNC3=O)COP(=O)(O)OP(=O)(O)O)O
dITP	C1C(C(OC1N2C=NC3=C2N=CNC3=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
dUDP	C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)OP(=O)(O)O)O
FADH2	CC1=CC2=C(C=C1C)N(C3=C(N2)C(=O)NC(=O)N3)CC(C(C(COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)O
3'-AMP	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)OP(=O)(O)O)O)N
3'-UMP	C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)OP(=O)(O)O)O
Ethylene glycol	C(CO)O
Butanal	CCCC=O
Cys-Gly	C(C(C(=O)NCC(=O)O)N)S
Toluate	CC1=CC=C(C=C1)C(=O)O
Ferulate	COC1=C(C=CC(=C1)C=CC(=O)O)O
Geranial	CC(=CCCC(=CC=O)C)C
Hydrogen selenide	[Se-2]
2-Furoate	C1=COC(=C1)C(=O)O
Carbamate	C(=O)(N)O
Hippurate	C1=CC=C(C=C1)C(=O)NCC(=O)O
Linamarin	CC(C)(C#N)OC1C(C(C(C(O1)CO)O)O)O
Phthalate	C1=CC=C(C(=C1)C(=O)O)C(=O)O
Stachyose	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC3C(C(C(C(O3)OC4(C(C(C(O4)CO)O)O)CO)O)O)O)O)O)O)O)O)O)O
Acrylamide	C=CC(=O)N
Cadaverine	C(CCN)CCN
Galactitol	C(C(C(C(C(CO)O)O)O)O)O
Levanbiose	C(C1C(C(C(O1)(CO)OCC2C(C(C(O2)(CO)O)O)O)O)O)O
Xanthosine	C1=NC2=C(N1C3C(C(C(O3)CO)O)O)NC(=O)NC2=O
(S)-Acetoin	CC(C(=O)C)O
Deoxyribose	C(C=O)C(C(CO)O)O
Lauroyl-CoA	CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
Propan-2-ol	CC(C)O
Reduced FMN	CC1=CC2=C(C=C1C)N(C3=C(N2)C(=O)NC(=O)N3)CC(C(C(COP(=O)(O)O)O)O)O
5-Oxoproline	C1CC(=O)NC1C(=O)O
Dethiobiotin	CC1C(NC(=O)N1)CCCCCC(=O)O
Geranoyl-CoA	CC(=CCCC(=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C)C
L-Histidinal	C1=C(NC=N1)CC(C=O)N
Maltodextrin	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O
Octanoyl-CoA	CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
Thiocysteine	C(C(C(=O)O)N)SS
Pseudouridine	C1=C(C(=O)NC(=O)N1)C2C(C(C(O2)CO)O)O
(S)-Ureidoglycine	
dTDP-galactose	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O
alpha-Oxo-benzeneacetic acid	C1=CC=C(C=C1)C(=O)C(=O)O
Methylmalonate	CC(C(=O)O)C(=O)O
Protoporphyrin	CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C
2-Aminomuconate	C(=CC(=O)O)C=C(C(=O)O)N
2-Methylcitrate	CC(C(=O)O)C(CC(=O)O)(C(=O)O)O
2-Methylmaleate	CC(=CC(=O)O)C(=O)O
3-Oxoadipyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCC(=O)O)O
Anthraniloyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C4=CC=CC=C4N)O
D-Phenylalanine	C1=CC=C(C=C1)CC(C(=O)O)N
D-Xylonolactone	C1C(C(C(C(=O)O1)O)O)O
L-Cystathionine	C(CSCC(C(=O)O)N)C(C(=O)O)N
(S)-Allantoin	C1(C(=O)NC(=O)N1)NC(=O)N
2',3'-Cyclic AMP	C1=NC(=C2C(=N1)N(C=N2)C3C4C(C(O3)CO)OP(=O)(O4)O)N
2',3'-Cyclic CMP	C1=CN(C(=O)N=C1N)C2C3C(C(O2)CO)OP(=O)(O3)[O-]
2',3'-Cyclic UMP	C1=CN(C(=O)NC1=O)C2C3C(C(O2)CO)OP(=O)(O3)O
(S)-2-Aminobutanoate	CCC(C(=O)O)N
2-Oxosuccinamate	C(C(=O)C(=O)O)C(=O)N
6-Mercaptopurine	C1=NC2=C(N1)C(=S)N=CN2
Glutaconyl-1-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CCC(=O)O)O
L-Rhamnofuranose	CC(C1C(C(C(O1)O)O)O)O
Propane-1,3-diol	C(CO)CO
Precorrin 2	CC1(C(C2=CC3=NC(=CC4=C(C(=C(N4)CC5=C(C(=C(N5)C=C1N2)CC(=O)O)CCC(=O)O)CCC(=O)O)CC(=O)O)C(C3(C)CC(=O)O)CCC(=O)O)CCC(=O)O)CC(=O)O
cis,cis-Muconate	C(=CC(=O)O)C=CC(=O)O
2-Hydroxymuconate	C(=CC(=O)O)C=C(C(=O)[O-])[O-]
alpha-Isopropylmalate	CC(C)C(CC(=O)O)(C(=O)O)O
2-Phenylacetamide	C1=CC=C(C=C1)CC(=O)N
3-Fumarylpyruvate	C(C(=O)C=CC(=O)O)C(=O)C(=O)O
Butanoylphosphate	CCCC(=O)OP(=O)(O)O
Perillyl aldehyde	CC(=C)C1CCC(=CC1)C=O
Tetradecanoyl-CoA	CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(R)-2-Methylmalate	CC(CC(=O)[O-])(C(=O)[O-])O
2-Isopropylmaleate	CC(C)C(=CC(=O)O)C(=O)O
3-Dehydroshikimate	C1C(C(C(=O)C=C1C(=O)O)O)O
3-Ureidopropionate	C(CNC(=O)N)C(=O)O
4-Guanidinobutanal	C(CC=O)CN=C(N)N
Pimelate	C(CCC(=O)O)CCC(=O)O
Acetone cyanohydrin	CC(C)(C#N)O
D-Glucuronolactone	C1(C2C(C(C(=O)O2)O)OC1O)O
(Indol-3-yl)acetamide	C1=CC=C2C(=C1)C(=CN2)CC(=O)N
N-Acetylmuramate	CC(C(=O)O)OC1C(C(OC(C1O)CO)O)NC(=O)C
2-Succinylbenzoate	C1=CC=C(C(=C1)C(=O)CCC(=O)O)C(=O)O
1-(5-Phospho-D-ribosyl)-ATP	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=CN(C2=N)C4C(C(C(O4)COP(=O)(O)O)O)O
Phosphoribosyl-AMP	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)N=CN(C2=N)C4C(C(C(O4)COP(=O)(O)O)O)O
Reduced flavodoxin	
2,5-Didehydro-D-gluconate	C(C(=O)C(C(C(=O)C(=O)O)O)O)O
Imidazole-4-acetate	C1=C(NC=N1)CC(=O)O
Oxidized flavodoxin	
Propanoyl phosphate	CCC(=O)OP(=O)(O)O
(2-Naphthyl)methanol	C1=CC=C2C=C(C=CC2=C1)CO
3-Methylbutanoyl-CoA	CC(C)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
4-Acetamidobutanoate	CC(=O)NCCCC(=O)O
4-Hydroxybenzoyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C4=CC=C(C=C4)O)O
7,8-Dihydrobiopterin	CC(C(C1=NC2=C(NC1)N=C(NC2=O)N)O)O
D-Allose 6-phosphate	C(C(C(C(C(C=O)O)O)O)O)OP(=O)(O)O
L-Methionine S-oxide	CS(=O)CCC(C(=O)O)N
L-Rhamnono-1,4-lactone	CC(C1C(C(C(=O)O1)O)O)O
N-Acetylmuramoyl-Ala	CC(C(=O)O)NC(=O)C(C)OC1C(C(OC(C1O)CO)O)NC(=O)C
Thiamin triphosphate	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)OP(=O)(O)O
(R,R)-Butane-2,3-diol	CC(C(C)O)O
(S,S)-Butane-2,3-diol	CC(C(C)O)O
2-Carboxybenzaldehyde	C1=CC=C(C(=C1)C=O)C(=O)[O-]
2-Oxohept-3-enedioate	C(CC(=O)O)C=CC(=O)C(=O)O
3-Dehydro-L-threonate	C(C(=O)C(C(=O)[O-])O)O
3-Hydroxybenzaldehyde	C1=CC(=CC(=C1)O)C=O
3-Methylcrotonyl-CoA	CC(=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C
4-Guanidinobutanamide	C(CC(=O)N)CN=C(N)N
4-Phospho-L-aspartate	C(C(C(=O)O)N)C(=O)OP(=O)(O)O
5-Methylthio-D-ribose	CSCC1C(C(C(O1)O)O)O
5-Phosphoribosylamine	C(C1C(C(C(O1)N)O)O)OP(=O)(O)O
Dimethylbenzimidazole	CC1=CC2=C(C=C1C)N=CN2
Nicotinamide-beta-riboside	C1=CC(=C[N+](=C1)C2C(C(C(O2)CO)O)O)C(=O)N
